name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
GJ 758 b,Confirmed,37.9,1.5,1.5,,,,,,,109000,62000,62000,33,6,6,0.42,0.2,0.2,52,6,6,3.516129,2009,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,5,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425,,,,,"Gliese 758, HR 7368, HD 182488"
1RXS J0342.5+1216 b,Confirmed,35,8,8,,,,,,,,,,19.8,,,,,,,,,,,2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,1RXS J0342.5+1216,55.63333334,12.27277779,,,,,,,,,,,,,,,,,,M4,,,,,,,,,
GJ 229 B,Confirmed,35,15,15,1.61971,0.664,0.664,,,,52890,24055,24055,19.433,6.9,6.9,0.03,0.03,0.03,,,,,1995,2020-01-09,180,180,180,,,,,,,,,,,,,,,,,,,,,,17.06,5.2,5.2,1200,1200,1200,,,,,,,Published in a refereed paper,Imaging,Spectrum,,Gliese 229 B,,GJ 229,92.64423055,-21.86464217,8.125,,,,,5.757,0.0004,0.0004,,,,0.58,,,,,,M1 V,,,,3564,,,,,
HD 126053 B,Confirmed,35,15,15,,,,0.9,0.1,0.1,,,,2630,,,,,,,,,,2012,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Published in a refereed paper,Imaging,Spectrum,,"BD+01 2920 B, WISE J142320.84+011638.0",,HD 126053 A,215.8136865,1.241567174,6.27,5.39,5.05,4.81,4.64,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,G1V,8.5,6,6,5750,100,100,,,"BD+01 2920, HIP 70319, 2MASS J14231528+0114294"
HIP 75056 b,Confirmed,35,10,10,,,,2,0.5,0.5,47500,11000,11000,22.5,1,1,0.44,0.03,0.03,12,5,5,,2020,2024-03-24,128,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,Published in a refereed paper,Imaging,Astrometry,Flux,HD 136164A b,,HIP 75056,230.0541667,-34.92555558,,,,,,,,,,,,,,,,,,A2V,,,,,,,,,HD 136164A
HR 7329 B,Confirmed,35,15,15,,,,,,,,,,,,,,,,,,,,2000,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 7329,290.7125,-54.4238889,5,,,,,48,,,,,,,,,,,,A0V,0.03,0.03,0.03,,,,,,
2MASS J2343-3646,Confirmed,34,4,4,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,53,53,,,,,,4.74,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J23433470-3646021,,,355.89461,-36.76727702,,,,,,40.5,2.2,2.2,,,,,,,,,,,,,,,,,,,
HIP 77900 b,Confirmed,34,14,14,,,,1.76,0.12,0.12,,,,3200,300,300,,,,,,,,2013,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,2602,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700,1550,1550,,,
WISE 2150A b,Confirmed,34,22,22,,,,,,,,,,341,,,,,,,,,,2019,2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE 2150A,327.5666667,-75.34361113,,,,,,24.2,,,,,,0.072,0.012,0.012,,,,L1,,,,2118,62,62,,,2MASS J21501592-7520367
2MASS J0001+1535,Confirmed,33,4,4,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,5,5,,,,,,4.73,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,0.3006871114,15.59320681,,,,,,31.6163,1.8013,1.8013,,,,,,,,,,,,,,,,,,,
2MASS J2154-1055,Confirmed,33,4,4,,,,1.17,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,31,31,,,,,,4.76,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J21543454-1055308,,,328.643928,-10.92523403,,,,,,31.1,1.1,1.1,,,,,,,,,,,,,,,,,,,
HIP 64892 b,Confirmed,33,4,4,,,,,,,,,,159,12,12,,,,,,,,2018,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 64892,199.5208333,-44.05527778,6.8,,,,,125,,,,,,2.35,,,1.79,,,B9.5V,0.016,,,10400,,,,,
Luhman 16 A,Confirmed,33,0.2,0.2,,,,1.04,,,10600,1500,1500,3.67,0.43,0.43,0.42,0.09,0.09,80.15,0.36,0.36,,2013,2024-03-15,140.3,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,Published in a refereed paper,Imaging,Astrometry,,"WISE J104915.57-531906.1 A, LUH 16 A, 2MASS J10491891-5319100 A",,,162.3288125,-53.31946668,,,,,,1.998,0.0004,0.0004,,,,,,,,,,,,,,,,,,,
WISE J041358.14-475039.3,Confirmed,32.04,14.76,14.76,,,,,,,,,,,,,,,,,,,,2012,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,63.49226802,-47.84425103,,,,,,22,3,3,,,,,,,,,,,,,,,,,,,
1RXS J235133.3+312720 b,Confirmed,32,6,6,,,,,,,,,,120,20,20,,,,,,,,2012,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.8903083,31.45639469,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
2MASS J2206-4217,Confirmed,32,3,3,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,46,46,,,,,,4.72,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASSW J2206450-421721, 2MASS J2206450-421721",,,331.6874917,-42.28921274,,,,,,29.5966,-1.4941,-1.4941,,,,,,,,,,,,,,,,,,,
HD 284149 b,Confirmed,32,18,18,,,,,,,,,,400,,,,,,,,,,2014,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.66250001,20.30305556,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.025,6040,60,60,,,
