,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
189,189,GJ 3470,0.04373,0.00472,-0.00472,0.0,3.3366496,3.9e-06,-3.3e-06,0,0.0355,0.0019,-0.0019,0.0,0.08
190,190,GJ 3473,0.00585,0.00094,-0.00094,0.0,1.1980035,1.8e-06,-1.9e-06,0,0.01589,0.00062,-0.00062,0.0,0.11
191,191,GJ 3473,0.02331,0.00286,-0.00271,0.0,15.509,0.033,-0.033,0,0.0876,0.0035,-0.0034,0.0,0.11
193,193,GJ 3512,0.2,0.01,-0.01,0.0,1599.6,1.1,-0.8,0,1.292,0.003,-0.003,0.0,-0.07
194,194,GJ 357,0.00579,0.00098,-0.00098,0.0,3.9306,2e-06,-2e-06,0,0.036,0.0004,-0.0004,0.0,-0.12
195,195,GJ 357,0.0107,0.00145,-0.00145,0.0,9.1247,0.0011,-0.001,0,0.061,0.004,-0.004,0.0,-0.12
196,196,GJ 357,0.01919,0.00315,-0.00315,0.0,55.661,0.055,-0.055,0,0.204,0.015,-0.015,0.0,-0.12
197,197,GJ 3634,0.026,0.013,-0.005,0.0,2.64561,0.00066,-0.00066,0,0.0287,0.001,-0.0011,0.0,-0.07
198,198,GJ 367,0.00199,0.00016,-0.00016,0.0,0.3219225,2e-07,-2e-07,0,0.00709,0.00027,-0.00027,0.0,-0.01
199,199,GJ 367,0.01299,0.00113,-0.00113,0.0,11.5301,0.0078,-0.0078,0,,,,,-0.01
200,200,GJ 367,0.01897,0.00154,-0.00154,0.0,34.369,0.073,-0.073,0,,,,,-0.01
201,201,GJ 3779,0.02517,0.00157,-0.00157,0.0,3.0232,0.0013,-0.0013,0,0.026,0.001,-0.001,0.0,0.0
202,202,GJ 3929,0.00551,0.00138,-0.00142,0.0,2.616235,5e-06,-5e-06,0,0.0252,0.0005,-0.0005,0.0,0.0
203,203,GJ 3929,0.01797,0.00296,-0.00296,0.0,15.04,0.03,-0.03,0,0.081,0.002,-0.002,0.0,0.0
204,204,GJ 393,0.00538,0.00076,-0.00076,0.0,7.02679,0.00082,-0.00085,0,0.05402,0.00072,-0.00072,0.0,-0.09
205,205,GJ 3942,0.02246,0.00186,-0.00186,0.0,6.905,0.04,-0.04,0,0.0608,0.0068,-0.0068,0.0,-0.04
206,206,GJ 3998,0.00777,0.00085,-0.00085,0.0,2.64977,0.00081,-0.00077,0,0.029,0.001,-0.001,0.0,-0.16
207,207,GJ 3998,0.0197,0.00249,-0.00239,0.0,13.74,0.016,-0.016,0,0.089,0.003,-0.003,0.0,-0.16
208,208,GJ 414 A,0.02391,0.00768,-0.00689,0.0,50.8,0.1,-0.26,0,0.2324,0.0092,-0.0099,0.0,0.24
209,209,GJ 414 A,0.16937,0.02888,-0.027,0.0,749.83,4.35,-3.63,0,1.4,0.055,-0.06,0.0,0.24
210,210,GJ 422,0.03483,0.00352,-0.00352,0.0,20.129,0.005,-0.005,0,0.111,0.004,-0.004,0.0,
211,211,GJ 4276,0.05213,0.00296,-0.00299,0.0,13.352,0.003,-0.003,0,0.082,0.002,-0.002,0.0,0.12
212,212,GJ 433,0.01901,0.00188,-0.00188,0.0,7.3705,0.0005,-0.0005,0,0.062,0.002,-0.002,0.0,-0.17
213,213,GJ 433,0.10201,0.01991,-0.01991,0.0,5094.105,608.617,-608.617,0,4.819,0.417,-0.417,0.0,-0.17
214,214,GJ 433,0.01643,0.0029,-0.0029,0.0,36.059,0.016,-0.016,0,0.178,0.006,-0.006,0.0,-0.17
215,215,GJ 436,0.07,0.007,-0.007,0.0,2.64388312,5.7e-07,-5.7e-07,0,0.0291,0.0015,-0.0015,0.0,-0.03
