,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
304,304,HAT-P-44,0.352,0.029,-0.029,0,4.301219,0.000019,-0.000019,0,0.0507,0.0007,-0.0007,0,0.36
305,305,HAT-P-44,4,1.4,-0.8,0,872.2,1.7,-1.7,0,1.752,0.025,-0.025,0,0.36
306,306,HAT-P-45,0.892,0.137,-0.099,0,3.128992,0.000021,-0.000021,0,0.0452,0.0007,-0.0007,0,0.14
307,307,HAT-P-46,0.493,0.082,-0.052,0,4.463129,0.000048,-0.000048,0,0.0577,0.0014,-0.0009,0,0.36
308,308,HAT-P-49,2.2,0.59,-0.59,0,2.69155,0.000006,-0.000006,0,0.04378,0.00048,-0.00049,0,0.23
309,309,HAT-P-5,0.98,0.2,-0.2,0,2.78849,0.000025,-0.000025,0,0.04073,0.0005,-0.00093,0,0.06
310,310,HAT-P-50,1.35,0.073,-0.073,0,3.1220109,0.0000065,-0.0000065,0,0.0453,0.00058,-0.0014,0,-0.05
311,311,HAT-P-51,0.309,0.018,-0.018,0,4.2180278,0.0000059,-0.0000059,0,0.05069,0.00049,-0.00049,0,0.21
312,312,HAT-P-52,0.818,0.029,-0.029,0,2.7535953,0.0000094,-0.0000094,0,0.03694,0.00038,-0.00038,0,0.23
313,313,HAT-P-53,1.484,0.056,-0.056,0,1.9616241,0.0000039,-0.0000039,0,0.03159,0.00042,-0.00042,0,0
314,314,HAT-P-54,0.76,0.032,-0.032,0,3.799847,0.000014,-0.000014,0,0.04117,0.00043,-0.00043,0,-0.1
315,315,HAT-P-55,0.582,0.056,-0.056,0,3.5852467,0.0000064,-0.0000064,0,0.04604,0.00056,-0.00056,0,-0.01
316,316,HAT-P-56,2.31,0.44,-0.44,0,2.79083,0.000005,-0.000005,0,0.0423,0.00039,-0.00039,0,-0.22
317,317,HAT-P-57,1.41,1.52,-1.52,0,2.4653,0.000003,-0.000003,0,0.0406,0.0011,-0.0011,0,-0.25
318,318,HAT-P-58,0.372,0.03,-0.03,0,4.0138379,0.0000024,-0.0000024,0,0.04994,0.00044,-0.00044,0,0.12
